Question Type,Question Content
slate,What are the requirements for excavation width for pipes?
slate,What is the process for bedding material ordering?
slate,How materials should be stored?
spirit,What are the requirements for Doors hardware in the Client areas?
spirit,What are the minimum capacity requirements for Elevator equipment?
spirit,What are the certification requirements for Natural Gas system pipes?
spirit,Provide list of glazing resistance requirements
ada_design,What are the requirements for the glazed openings in guest rooms?
ada_design,How many parking spaces should be compliant with accessibility requirements in Outpatient Facilities?
ada_design,What are the grab bar spacing requirements for shower controls?
ada_design,What are the length requirements for the vehicle pull up space?
